country1,country2,games,wins,looses,draws
Argentina,South Korea,3,1.0,0.0,0.0
South Korea,Argentina,3,0.0,1.0,0.0
Argentina,Spain,14,0.42857142857142855,0.42857142857142855,0.14285714285714285
Spain,Argentina,14,0.42857142857142855,0.42857142857142855,0.14285714285714285
Argentina,Switzerland,7,0.7142857142857143,0.0,0.2857142857142857
Switzerland,Argentina,7,0.0,0.7142857142857143,0.2857142857142857
Argentina,Tunisia,1,1.0,0.0,0.0
Tunisia,Argentina,1,0.0,1.0,0.0
Argentina,Uruguay,179,0.4692737430167598,0.2905027932960894,0.24022346368715083
Uruguay,Argentina,179,0.2905027932960894,0.4692737430167598,0.24022346368715083
Argentina,Wales,2,0.5,0.0,0.5
Wales,Argentina,2,0.0,0.5,0.5
Australia,Brazil,8,0.125,0.75,0.125
Brazil,Australia,8,0.75,0.125,0.125
Australia,Canada,9,0.5555555555555556,0.3333333333333333,0.1111111111111111
Canada,Australia,9,0.3333333333333333,0.5555555555555556,0.1111111111111111
Australia,Costa Rica,1,1.0,0.0,0.0
Costa Rica,Australia,1,0.0,1.0,0.0
Australia,Croatia,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
Croatia,Australia,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
Australia,Denmark,4,0.25,0.5,0.25
Denmark,Australia,4,0.5,0.25,0.25
Australia,Ecuador,1,0.0,1.0,0.0
Ecuador,Australia,1,1.0,0.0,0.0
Australia,England,7,0.14285714285714285,0.5714285714285714,0.2857142857142857
England,Australia,7,0.5714285714285714,0.14285714285714285,0.2857142857142857
Australia,France,5,0.2,0.6,0.2
France,Australia,5,0.6,0.2,0.2
Australia,Germany,6,0.16666666666666666,0.6666666666666666,0.16666666666666666
Germany,Australia,6,0.6666666666666666,0.16666666666666666,0.16666666666666666
Australia,Ghana,7,0.5714285714285714,0.14285714285714285,0.2857142857142857
Ghana,Australia,7,0.14285714285714285,0.5714285714285714,0.2857142857142857
Australia,Iran,7,0.2857142857142857,0.42857142857142855,0.2857142857142857
Iran,Australia,7,0.42857142857142855,0.2857142857142857,0.2857142857142857
Australia,Japan,26,0.23076923076923078,0.4230769230769231,0.34615384615384615
Japan,Australia,26,0.4230769230769231,0.23076923076923078,0.34615384615384615
Australia,Mexico,4,0.5,0.0,0.5
Mexico,Australia,4,0.0,0.5,0.5
Australia,Morocco,1,1.0,0.0,0.0
Morocco,Australia,1,0.0,1.0,0.0
Australia,Netherlands,4,0.25,0.25,0.5
Netherlands,Australia,4,0.25,0.25,0.5
Australia,Qatar,5,0.6,0.2,0.2
Qatar,Australia,5,0.2,0.6,0.2
Australia,Saudi Arabia,10,0.5,0.2,0.3
Saudi Arabia,Australia,10,0.2,0.5,0.3
Australia,Serbia,2,0.5,0.0,0.5
Serbia,Australia,2,0.0,0.5,0.5
Australia,South Korea,28,0.32142857142857145,0.2857142857142857,0.39285714285714285
South Korea,Australia,28,0.2857142857142857,0.32142857142857145,0.39285714285714285
Australia,Spain,1,0.0,1.0,0.0
Spain,Australia,1,1.0,0.0,0.0
Australia,Tunisia,1,0.0,1.0,0.0
Tunisia,Australia,1,1.0,0.0,0.0
Australia,Uruguay,7,0.42857142857142855,0.5714285714285714,0.0
Uruguay,Australia,7,0.5714285714285714,0.42857142857142855,0.0
Belgium,Australia,1,1.0,0.0,0.0
Australia,Belgium,1,0.0,1.0,0.0
Belgium,Brazil,5,0.4,0.6,0.0
Brazil,Belgium,5,0.6,0.4,0.0
Belgium,Costa Rica,2,1.0,0.0,0.0
Costa Rica,Belgium,2,0.0,1.0,0.0
Belgium,Croatia,8,0.375,0.375,0.25
Croatia,Belgium,8,0.375,0.375,0.25
Belgium,Denmark,16,0.4375,0.375,0.1875
Denmark,Belgium,16,0.375,0.4375,0.1875
Belgium,England,26,0.15384615384615385,0.6538461538461539,0.19230769230769232
England,Belgium,26,0.6538461538461539,0.15384615384615385,0.19230769230769232
Belgium,France,75,0.4,0.3466666666666667,0.25333333333333335
France,Belgium,75,0.3466666666666667,0.4,0.25333333333333335
Belgium,Germany,25,0.16,0.8,0.04
Germany,Belgium,25,0.8,0.16,0.04
Belgium,Japan,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
Japan,Belgium,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
Belgium,Mexico,7,0.2857142857142857,0.42857142857142855,0.2857142857142857
Mexico,Belgium,7,0.42857142857142855,0.2857142857142857,0.2857142857142857
Belgium,Morocco,3,0.6666666666666666,0.3333333333333333,0.0
Morocco,Belgium,3,0.3333333333333333,0.6666666666666666,0.0
Belgium,Netherlands,126,0.31746031746031744,0.4365079365079365,0.24603174603174602
Netherlands,Belgium,126,0.4365079365079365,0.31746031746031744,0.24603174603174602
Belgium,Poland,21,0.38095238095238093,0.3333333333333333,0.2857142857142857
Poland,Belgium,21,0.3333333333333333,0.38095238095238093,0.2857142857142857
Belgium,Portugal,19,0.3157894736842105,0.3157894736842105,0.3684210526315789
Portugal,Belgium,19,0.3157894736842105,0.3157894736842105,0.3684210526315789
Belgium,Qatar,1,1.0,0.0,0.0
Qatar,Belgium,1,0.0,1.0,0.0
Belgium,Saudi Arabia,3,0.6666666666666666,0.3333333333333333,0.0
Saudi Arabia,Belgium,3,0.3333333333333333,0.6666666666666666,0.0
Belgium,Serbia,6,0.5,0.3333333333333333,0.16666666666666666
Serbia,Belgium,6,0.3333333333333333,0.5,0.16666666666666666
Belgium,South Korea,4,0.75,0.0,0.25
South Korea,Belgium,4,0.0,0.75,0.25
Belgium,Spain,21,0.19047619047619047,0.5238095238095238,0.2857142857142857
Spain,Belgium,21,0.5238095238095238,0.19047619047619047,0.2857142857142857
Belgium,Switzerland,30,0.5,0.3,0.2
Switzerland,Belgium,30,0.3,0.5,0.2
Belgium,Tunisia,4,0.5,0.25,0.25
Tunisia,Belgium,4,0.25,0.5,0.25
Belgium,Uruguay,2,1.0,0.0,0.0
Uruguay,Belgium,2,0.0,1.0,0.0
Belgium,Wales,16,0.375,0.3125,0.3125
Wales,Belgium,16,0.3125,0.375,0.3125
Brazil,Cameroon,6,0.8333333333333334,0.16666666666666666,0.0
Cameroon,Brazil,6,0.16666666666666666,0.8333333333333334,0.0
Brazil,Canada,4,0.5,0.0,0.5
Canada,Brazil,4,0.0,0.5,0.5
Brazil,Costa Rica,11,0.9090909090909091,0.09090909090909091,0.0
Costa Rica,Brazil,11,0.09090909090909091,0.9090909090909091,0.0
Brazil,Croatia,4,0.75,0.0,0.25
Croatia,Brazil,4,0.0,0.75,0.25
Brazil,Denmark,4,0.75,0.25,0.0
Denmark,Brazil,4,0.25,0.75,0.0
Brazil,Ecuador,34,0.7647058823529411,0.058823529411764705,0.17647058823529413
Ecuador,Brazil,34,0.058823529411764705,0.7647058823529411,0.17647058823529413
Brazil,England,26,0.4230769230769231,0.15384615384615385,0.4230769230769231
England,Brazil,26,0.15384615384615385,0.4230769230769231,0.4230769230769231
Brazil,France,16,0.4375,0.3125,0.25
France,Brazil,16,0.3125,0.4375,0.25
Brazil,Germany,23,0.5652173913043478,0.21739130434782608,0.21739130434782608
Germany,Brazil,23,0.21739130434782608,0.5652173913043478,0.21739130434782608
Brazil,Ghana,4,1.0,0.0,0.0
Ghana,Brazil,4,0.0,1.0,0.0
Brazil,Japan,13,0.8461538461538461,0.0,0.15384615384615385
Japan,Brazil,13,0.0,0.8461538461538461,0.15384615384615385
Brazil,Mexico,41,0.5853658536585366,0.24390243902439024,0.17073170731707318
Mexico,Brazil,41,0.24390243902439024,0.5853658536585366,0.17073170731707318
Brazil,Morocco,2,1.0,0.0,0.0
Morocco,Brazil,2,0.0,1.0,0.0
Brazil,Netherlands,12,0.25,0.3333333333333333,0.4166666666666667
Netherlands,Brazil,12,0.3333333333333333,0.25,0.4166666666666667
Brazil,Poland,12,0.75,0.08333333333333333,0.16666666666666666
Poland,Brazil,12,0.08333333333333333,0.75,0.16666666666666666
Brazil,Portugal,21,0.6666666666666666,0.19047619047619047,0.14285714285714285
Portugal,Brazil,21,0.19047619047619047,0.6666666666666666,0.14285714285714285
Brazil,Qatar,1,1.0,0.0,0.0
Qatar,Brazil,1,0.0,1.0,0.0
Brazil,Saudi Arabia,5,1.0,0.0,0.0
Saudi Arabia,Brazil,5,0.0,1.0,0.0
Brazil,Senegal,1,0.0,0.0,1.0
Senegal,Brazil,1,0.0,0.0,1.0
Brazil,Serbia,5,0.8,0.0,0.2
Serbia,Brazil,5,0.0,0.8,0.2
Brazil,South Korea,7,0.8571428571428571,0.14285714285714285,0.0
South Korea,Brazil,7,0.14285714285714285,0.8571428571428571,0.0
Brazil,Spain,9,0.5555555555555556,0.2222222222222222,0.2222222222222222
Spain,Brazil,9,0.2222222222222222,0.5555555555555556,0.2222222222222222
Brazil,Switzerland,9,0.3333333333333333,0.2222222222222222,0.4444444444444444
Switzerland,Brazil,9,0.2222222222222222,0.3333333333333333,0.4444444444444444
Brazil,Uruguay,76,0.4868421052631579,0.2631578947368421,0.25
Uruguay,Brazil,76,0.2631578947368421,0.4868421052631579,0.25
Brazil,Wales,10,0.8,0.1,0.1
Wales,Brazil,10,0.1,0.8,0.1
Cameroon,Australia,1,0.0,0.0,1.0
Australia,Cameroon,1,0.0,0.0,1.0
Cameroon,Canada,1,1.0,0.0,0.0
Canada,Cameroon,1,0.0,1.0,0.0
Cameroon,Croatia,1,0.0,1.0,0.0
Croatia,Cameroon,1,1.0,0.0,0.0
Cameroon,Denmark,3,0.3333333333333333,0.6666666666666666,0.0
Denmark,Cameroon,3,0.6666666666666666,0.3333333333333333,0.0
Cameroon,England,4,0.0,0.75,0.25
England,Cameroon,4,0.75,0.0,0.25
Cameroon,Germany,4,0.0,0.75,0.25
Germany,Cameroon,4,0.75,0.0,0.25
Cameroon,Ghana,8,0.25,0.25,0.5
Ghana,Cameroon,8,0.25,0.25,0.5
Cameroon,Morocco,11,0.5454545454545454,0.09090909090909091,0.36363636363636365
Morocco,Cameroon,11,0.09090909090909091,0.5454545454545454,0.36363636363636365
Cameroon,Netherlands,3,0.0,0.6666666666666666,0.3333333333333333
Netherlands,Cameroon,3,0.6666666666666666,0.0,0.3333333333333333
Cameroon,Saudi Arabia,5,0.4,0.4,0.2
Saudi Arabia,Cameroon,5,0.4,0.4,0.2
Cameroon,Senegal,13,0.23076923076923078,0.38461538461538464,0.38461538461538464
Senegal,Cameroon,13,0.38461538461538464,0.23076923076923078,0.38461538461538464
Cameroon,Tunisia,19,0.47368421052631576,0.15789473684210525,0.3684210526315789
Tunisia,Cameroon,19,0.15789473684210525,0.47368421052631576,0.3684210526315789
Canada,Belgium,1,0.0,1.0,0.0
Belgium,Canada,1,1.0,0.0,0.0
Canada,Costa Rica,24,0.25,0.375,0.375
Costa Rica,Canada,24,0.375,0.25,0.375
Canada,Ecuador,3,0.0,0.6666666666666666,0.3333333333333333
Ecuador,Canada,3,0.6666666666666666,0.0,0.3333333333333333
Canada,England,1,0.0,1.0,0.0
England,Canada,1,1.0,0.0,0.0
Canada,France,1,0.0,1.0,0.0
France,Canada,1,1.0,0.0,0.0
Canada,Germany,2,0.0,1.0,0.0
Germany,Canada,2,1.0,0.0,0.0
Canada,Ghana,1,1.0,0.0,0.0
Ghana,Canada,1,0.0,1.0,0.0
Canada,Iran,3,0.3333333333333333,0.6666666666666666,0.0
Iran,Canada,3,0.6666666666666666,0.3333333333333333,0.0
Canada,Mexico,33,0.12121212121212122,0.6363636363636364,0.24242424242424243
Mexico,Canada,33,0.6363636363636364,0.12121212121212122,0.24242424242424243
Canada,Morocco,3,0.0,0.6666666666666666,0.3333333333333333
Morocco,Canada,3,0.6666666666666666,0.0,0.3333333333333333
Canada,Netherlands,1,0.0,1.0,0.0
Netherlands,Canada,1,1.0,0.0,0.0
Canada,Poland,6,0.0,1.0,0.0
Poland,Canada,6,1.0,0.0,0.0
Canada,Portugal,2,0.0,0.5,0.5
Portugal,Canada,2,0.5,0.0,0.5
Canada,Saudi Arabia,1,0.0,1.0,0.0
Saudi Arabia,Canada,1,1.0,0.0,0.0
Canada,South Korea,5,0.4,0.4,0.2
South Korea,Canada,5,0.4,0.4,0.2
Canada,Spain,2,0.0,1.0,0.0
Spain,Canada,2,1.0,0.0,0.0
Canada,Uruguay,1,0.0,1.0,0.0
Uruguay,Canada,1,1.0,0.0,0.0
Canada,Wales,3,0.3333333333333333,0.6666666666666666,0.0
Wales,Canada,3,0.6666666666666666,0.3333333333333333,0.0
Costa Rica,Cameroon,1,1.0,0.0,0.0
Cameroon,Costa Rica,1,0.0,1.0,0.0
Costa Rica,Ecuador,11,0.09090909090909091,0.45454545454545453,0.45454545454545453
Ecuador,Costa Rica,11,0.45454545454545453,0.09090909090909091,0.45454545454545453
Costa Rica,England,2,0.0,0.5,0.5
England,Costa Rica,2,0.5,0.0,0.5
Costa Rica,Japan,4,0.0,0.75,0.25
Japan,Costa Rica,4,0.75,0.0,0.25
Costa Rica,Mexico,53,0.11320754716981132,0.5283018867924528,0.3584905660377358
Mexico,Costa Rica,53,0.5283018867924528,0.11320754716981132,0.3584905660377358
Costa Rica,Poland,2,0.0,1.0,0.0
Poland,Costa Rica,2,1.0,0.0,0.0
Costa Rica,Qatar,1,0.0,0.0,1.0
Qatar,Costa Rica,1,0.0,0.0,1.0
Costa Rica,Saudi Arabia,4,0.75,0.25,0.0
Saudi Arabia,Costa Rica,4,0.25,0.75,0.0
Costa Rica,Serbia,1,0.0,1.0,0.0
Serbia,Costa Rica,1,1.0,0.0,0.0
Costa Rica,South Korea,9,0.3333333333333333,0.4444444444444444,0.2222222222222222
South Korea,Costa Rica,9,0.4444444444444444,0.3333333333333333,0.2222222222222222
Costa Rica,Spain,3,0.0,0.6666666666666666,0.3333333333333333
Spain,Costa Rica,3,0.6666666666666666,0.0,0.3333333333333333
Costa Rica,Uruguay,10,0.1,0.6,0.3
Uruguay,Costa Rica,10,0.6,0.1,0.3
Croatia,Denmark,7,0.42857142857142855,0.2857142857142857,0.2857142857142857
Denmark,Croatia,7,0.2857142857142857,0.42857142857142855,0.2857142857142857
Croatia,England,11,0.2727272727272727,0.5454545454545454,0.18181818181818182
England,Croatia,11,0.5454545454545454,0.2727272727272727,0.18181818181818182
Croatia,France,10,0.1,0.6,0.3
France,Croatia,10,0.6,0.1,0.3
Croatia,Germany,8,0.25,0.625,0.125
Germany,Croatia,8,0.625,0.25,0.125
Croatia,Iran,2,0.5,0.0,0.5
Iran,Croatia,2,0.0,0.5,0.5
Croatia,Mexico,6,0.6666666666666666,0.3333333333333333,0.0
Mexico,Croatia,6,0.3333333333333333,0.6666666666666666,0.0
Croatia,Netherlands,2,0.5,0.5,0.0
Netherlands,Croatia,2,0.5,0.5,0.0
Croatia,Poland,5,0.6,0.2,0.2
Poland,Croatia,5,0.2,0.6,0.2
Croatia,Portugal,7,0.0,0.8571428571428571,0.14285714285714285
Portugal,Croatia,7,0.8571428571428571,0.0,0.14285714285714285
Croatia,Qatar,1,1.0,0.0,0.0
Qatar,Croatia,1,0.0,1.0,0.0
Croatia,Senegal,1,1.0,0.0,0.0
Senegal,Croatia,1,0.0,1.0,0.0
Croatia,Serbia,5,0.4,0.0,0.6
Serbia,Croatia,5,0.0,0.4,0.6
Croatia,South Korea,7,0.42857142857142855,0.2857142857142857,0.2857142857142857
South Korea,Croatia,7,0.2857142857142857,0.42857142857142855,0.2857142857142857
Croatia,Spain,9,0.3333333333333333,0.5555555555555556,0.1111111111111111
Spain,Croatia,9,0.5555555555555556,0.3333333333333333,0.1111111111111111
Croatia,Switzerland,7,0.42857142857142855,0.2857142857142857,0.2857142857142857
Switzerland,Croatia,7,0.2857142857142857,0.42857142857142855,0.2857142857142857
Croatia,Tunisia,1,0.0,1.0,0.0
Tunisia,Croatia,1,1.0,0.0,0.0
Croatia,Wales,6,0.6666666666666666,0.0,0.3333333333333333
Wales,Croatia,6,0.0,0.6666666666666666,0.3333333333333333
Denmark,Canada,1,1.0,0.0,0.0
Canada,Denmark,1,0.0,1.0,0.0
Denmark,England,22,0.18181818181818182,0.5909090909090909,0.22727272727272727
England,Denmark,22,0.5909090909090909,0.18181818181818182,0.22727272727272727
Denmark,France,15,0.3333333333333333,0.5333333333333333,0.13333333333333333
France,Denmark,15,0.5333333333333333,0.3333333333333333,0.13333333333333333
Denmark,Germany,28,0.2857142857142857,0.5357142857142857,0.17857142857142858
Germany,Denmark,28,0.5357142857142857,0.2857142857142857,0.17857142857142858
Denmark,Ghana,1,1.0,0.0,0.0
Ghana,Denmark,1,0.0,1.0,0.0
Denmark,Iran,1,0.0,0.0,1.0
Iran,Denmark,1,0.0,0.0,1.0
Denmark,Japan,2,0.5,0.5,0.0
Japan,Denmark,2,0.5,0.5,0.0
Denmark,Mexico,5,0.4,0.2,0.4
Mexico,Denmark,5,0.2,0.4,0.4
Denmark,Netherlands,31,0.25806451612903225,0.41935483870967744,0.3225806451612903
Netherlands,Denmark,31,0.41935483870967744,0.25806451612903225,0.3225806451612903
Denmark,Poland,19,0.5263157894736842,0.42105263157894735,0.05263157894736842
Poland,Denmark,19,0.42105263157894735,0.5263157894736842,0.05263157894736842
Denmark,Portugal,15,0.2,0.6666666666666666,0.13333333333333333
Portugal,Denmark,15,0.6666666666666666,0.2,0.13333333333333333
Denmark,Senegal,3,0.6666666666666666,0.0,0.3333333333333333
Senegal,Denmark,3,0.0,0.6666666666666666,0.3333333333333333
Denmark,Serbia,3,1.0,0.0,0.0
Serbia,Denmark,3,0.0,1.0,0.0
Denmark,South Korea,1,0.0,0.0,1.0
South Korea,Denmark,1,0.0,0.0,1.0
Denmark,Spain,16,0.125,0.6875,0.1875
Spain,Denmark,16,0.6875,0.125,0.1875
Denmark,Switzerland,12,0.3333333333333333,0.16666666666666666,0.5
Switzerland,Denmark,12,0.16666666666666666,0.3333333333333333,0.5
Denmark,Tunisia,1,1.0,0.0,0.0
Tunisia,Denmark,1,0.0,1.0,0.0
Denmark,Uruguay,2,1.0,0.0,0.0
Uruguay,Denmark,2,0.0,1.0,0.0
Denmark,Wales,11,0.6363636363636364,0.36363636363636365,0.0
Wales,Denmark,11,0.36363636363636365,0.6363636363636364,0.0
Ecuador,Croatia,1,1.0,0.0,0.0
Croatia,Ecuador,1,0.0,1.0,0.0
Ecuador,England,3,0.0,0.6666666666666666,0.3333333333333333
England,Ecuador,3,0.6666666666666666,0.0,0.3333333333333333
Ecuador,France,2,0.0,0.5,0.5
France,Ecuador,2,0.5,0.0,0.5
Ecuador,Germany,2,0.0,1.0,0.0
Germany,Ecuador,2,1.0,0.0,0.0
Ecuador,Iran,3,0.3333333333333333,0.0,0.6666666666666666
Iran,Ecuador,3,0.0,0.3333333333333333,0.6666666666666666
Ecuador,Japan,3,0.0,0.6666666666666666,0.3333333333333333
Japan,Ecuador,3,0.6666666666666666,0.0,0.3333333333333333
Ecuador,Mexico,24,0.16666666666666666,0.5833333333333334,0.25
Mexico,Ecuador,24,0.5833333333333334,0.16666666666666666,0.25
Ecuador,Poland,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
Poland,Ecuador,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
Ecuador,Portugal,2,0.5,0.5,0.0
Portugal,Ecuador,2,0.5,0.5,0.0
Ecuador,Senegal,2,0.0,1.0,0.0
Senegal,Ecuador,2,1.0,0.0,0.0
Ecuador,Serbia,1,1.0,0.0,0.0
Serbia,Ecuador,1,0.0,1.0,0.0
Ecuador,South Korea,2,0.5,0.5,0.0
South Korea,Ecuador,2,0.5,0.5,0.0
Ecuador,Spain,2,0.0,1.0,0.0
Spain,Ecuador,2,1.0,0.0,0.0
Ecuador,Uruguay,48,0.14583333333333334,0.6458333333333334,0.20833333333333334
Uruguay,Ecuador,48,0.6458333333333334,0.14583333333333334,0.20833333333333334
England,France,33,0.5151515151515151,0.30303030303030304,0.18181818181818182
France,England,33,0.30303030303030304,0.5151515151515151,0.18181818181818182
England,Germany,34,0.4117647058823529,0.38235294117647056,0.20588235294117646
Germany,England,34,0.38235294117647056,0.4117647058823529,0.20588235294117646
England,Ghana,1,0.0,0.0,1.0
Ghana,England,1,0.0,0.0,1.0
England,Japan,3,0.6666666666666666,0.0,0.3333333333333333
Japan,England,3,0.0,0.6666666666666666,0.3333333333333333
England,Mexico,10,0.7,0.2,0.1
Mexico,England,10,0.2,0.7,0.1
England,Morocco,2,0.5,0.0,0.5
Morocco,England,2,0.0,0.5,0.5
England,Netherlands,22,0.2727272727272727,0.3181818181818182,0.4090909090909091
Netherlands,England,22,0.3181818181818182,0.2727272727272727,0.4090909090909091
England,Poland,21,0.5714285714285714,0.047619047619047616,0.38095238095238093
Poland,England,21,0.047619047619047616,0.5714285714285714,0.38095238095238093
England,Portugal,23,0.43478260869565216,0.13043478260869565,0.43478260869565216
Portugal,England,23,0.13043478260869565,0.43478260869565216,0.43478260869565216
England,Saudi Arabia,2,0.0,0.0,1.0
Saudi Arabia,England,2,0.0,0.0,1.0
England,Serbia,1,1.0,0.0,0.0
Serbia,England,1,0.0,1.0,0.0
England,Spain,27,0.48148148148148145,0.37037037037037035,0.14814814814814814
Spain,England,27,0.37037037037037035,0.48148148148148145,0.14814814814814814
England,Switzerland,29,0.6551724137931034,0.13793103448275862,0.20689655172413793
Switzerland,England,29,0.13793103448275862,0.6551724137931034,0.20689655172413793
England,Tunisia,3,0.6666666666666666,0.0,0.3333333333333333
Tunisia,England,3,0.0,0.6666666666666666,0.3333333333333333
England,Uruguay,11,0.2727272727272727,0.45454545454545453,0.2727272727272727
Uruguay,England,11,0.45454545454545453,0.2727272727272727,0.2727272727272727
England,Wales,104,0.6538461538461539,0.14423076923076922,0.20192307692307693
Wales,England,104,0.14423076923076922,0.6538461538461539,0.20192307692307693
France,Cameroon,3,0.6666666666666666,0.0,0.3333333333333333
Cameroon,France,3,0.0,0.6666666666666666,0.3333333333333333
France,Costa Rica,2,1.0,0.0,0.0
Costa Rica,France,2,0.0,1.0,0.0
France,Germany,32,0.46875,0.28125,0.25
Germany,France,32,0.28125,0.46875,0.25
France,Iran,1,1.0,0.0,0.0
Iran,France,1,0.0,1.0,0.0
France,Japan,6,0.6666666666666666,0.16666666666666666,0.16666666666666666
Japan,France,6,0.16666666666666666,0.6666666666666666,0.16666666666666666
France,Mexico,7,0.7142857142857143,0.14285714285714285,0.14285714285714285
Mexico,France,7,0.14285714285714285,0.7142857142857143,0.14285714285714285
France,Morocco,5,0.6,0.0,0.4
Morocco,France,5,0.0,0.6,0.4
France,Netherlands,28,0.4642857142857143,0.39285714285714285,0.14285714285714285
Netherlands,France,28,0.39285714285714285,0.4642857142857143,0.14285714285714285
France,Poland,16,0.5,0.1875,0.3125
Poland,France,16,0.1875,0.5,0.3125
France,Portugal,26,0.6538461538461539,0.23076923076923078,0.11538461538461539
Portugal,France,26,0.23076923076923078,0.6538461538461539,0.11538461538461539
France,Saudi Arabia,1,1.0,0.0,0.0
Saudi Arabia,France,1,0.0,1.0,0.0
France,Senegal,1,0.0,1.0,0.0
Senegal,France,1,1.0,0.0,0.0
France,Serbia,6,0.6666666666666666,0.0,0.3333333333333333
Serbia,France,6,0.0,0.6666666666666666,0.3333333333333333
France,South Korea,3,0.6666666666666666,0.0,0.3333333333333333
South Korea,France,3,0.0,0.6666666666666666,0.3333333333333333
France,Spain,36,0.3611111111111111,0.4444444444444444,0.19444444444444445
Spain,France,36,0.4444444444444444,0.3611111111111111,0.19444444444444445
France,Switzerland,39,0.41025641025641024,0.3076923076923077,0.28205128205128205
Switzerland,France,39,0.3076923076923077,0.41025641025641024,0.28205128205128205
France,Tunisia,4,0.5,0.0,0.5
Tunisia,France,4,0.0,0.5,0.5
France,Uruguay,9,0.3333333333333333,0.2222222222222222,0.4444444444444444
Uruguay,France,9,0.2222222222222222,0.3333333333333333,0.4444444444444444
France,Wales,6,0.6666666666666666,0.16666666666666666,0.16666666666666666
Wales,France,6,0.16666666666666666,0.6666666666666666,0.16666666666666666
Germany,Costa Rica,1,1.0,0.0,0.0
Costa Rica,Germany,1,0.0,1.0,0.0
Germany,Ghana,3,0.6666666666666666,0.0,0.3333333333333333
Ghana,Germany,3,0.0,0.6666666666666666,0.3333333333333333
Germany,Iran,2,1.0,0.0,0.0
Iran,Germany,2,0.0,1.0,0.0
Germany,Japan,2,0.5,0.0,0.5
Japan,Germany,2,0.0,0.5,0.5
Germany,Mexico,12,0.4166666666666667,0.16666666666666666,0.4166666666666667
Mexico,Germany,12,0.16666666666666666,0.4166666666666667,0.4166666666666667
Germany,Morocco,4,1.0,0.0,0.0
Morocco,Germany,4,0.0,1.0,0.0
Germany,Netherlands,45,0.35555555555555557,0.26666666666666666,0.37777777777777777
Netherlands,Germany,45,0.26666666666666666,0.35555555555555557,0.37777777777777777
Germany,Poland,21,0.6190476190476191,0.047619047619047616,0.3333333333333333
Poland,Germany,21,0.047619047619047616,0.6190476190476191,0.3333333333333333
Germany,Portugal,19,0.5789473684210527,0.15789473684210525,0.2631578947368421
Portugal,Germany,19,0.15789473684210525,0.5789473684210527,0.2631578947368421
Germany,Saudi Arabia,3,1.0,0.0,0.0
Saudi Arabia,Germany,3,0.0,1.0,0.0
